area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,6002500,Afao,"Afao, AS",25,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6002500,Afao,"Afao, AS",25,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6002500,Afao,"Afao, AS",25,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,6002500,Afao,"Afao, AS",25,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,6003300,Afono,"Afono, AS",90,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,R,All Wired,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6003300,Afono,"Afono, AS",90,B,All Wired,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6003300,Afono,"Afono, AS",90,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6003300,Afono,"Afono, AS",90,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,R,Copper,0,0.000000000,0,0,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,Copper,0,0.000000000,0,0,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,R,Cable,0.000000000,0,0,0,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,R,Fiber,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6003300,Afono,"Afono, AS",90,B,Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6003300,Afono,"Afono, AS",90,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6003300,Afono,"Afono, AS",90,R,GSO Satellite,0.000000000,0,0,0,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,GSO Satellite,0,0,0.000000000,0,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,R,All Fixed Wireless,0.400000000,0.400000000,0.400000000,0.000000000,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,All Fixed Wireless,0.400000000,0.400000000,0.400000000,0,0,0.000000000
Total,Census Place,6003300,Afono,"Afono, AS",90,R,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,6003300,Afono,"Afono, AS",90,R,Licensed Fixed Wireless,0.400000000,0.400000000,0.400000000,0,0,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,Licensed Fixed Wireless,0.400000000,0.400000000,0.400000000,0,0,0.000000000
Total,Census Place,6003300,Afono,"Afono, AS",90,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,6003300,Afono,"Afono, AS",90,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,All Wired,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,All Wired,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,Copper,0,0,0,0.000000000,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,Cable,0,0,0,0.000000000,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,Cable,0,0,0,0,0,0.000000000
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,Fiber,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,GSO Satellite,0,0,0,0,0.000000000,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,GSO Satellite,0,0,0,0,0.000000000,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,All Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,All Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,Unlicensed Fixed Wireless,0,0,0.000000000,0,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,Licensed Fixed Wireless,0,0,0,0.000000000,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,Licensed Fixed Wireless,0,0,0.000000000,0,0,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,6004500,Agugulu,"Agugulu, AS",6,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,6004900,Alao,"Alao, AS",85,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6004900,Alao,"Alao, AS",85,R,All Wired,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,All Wired,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6004900,Alao,"Alao, AS",85,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6004900,Alao,"Alao, AS",85,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,R,Copper,0.000000000,0,0,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,Copper,0,0.000000000,0,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,R,Cable,0,0,0,0.000000000,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,Cable,0,0,0,0,0.000000000,0
Total,Census Place,6004900,Alao,"Alao, AS",85,R,Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,Fiber,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6004900,Alao,"Alao, AS",85,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6004900,Alao,"Alao, AS",85,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,R,GSO Satellite,0,0.000000000,0,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,GSO Satellite,0,0,0,0,0,0.000000000
Total,Census Place,6004900,Alao,"Alao, AS",85,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6004900,Alao,"Alao, AS",85,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,R,Unlicensed Fixed Wireless,0,0,0,0.000000000,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,R,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,6004900,Alao,"Alao, AS",85,B,Other,0,0,0.000000000,0,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,R,All Wired,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,B,All Wired,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6006500,Alega,"Alega, AS",10,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6006500,Alega,"Alega, AS",10,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6006500,Alega,"Alega, AS",10,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6006500,Alega,"Alega, AS",10,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,R,Copper,0,0,0,0,0,0.000000000
Total,Census Place,6006500,Alega,"Alega, AS",10,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,R,Cable,0,0,0.000000000,0,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,B,Cable,0,0,0,0,0.000000000,0
Total,Census Place,6006500,Alega,"Alega, AS",10,R,Fiber,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6006500,Alega,"Alega, AS",10,B,Fiber,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,6006500,Alega,"Alega, AS",10,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6006500,Alega,"Alega, AS",10,R,GSO Satellite,0,0.000000000,0,0,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,B,GSO Satellite,0.000000000,0,0,0,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,6006500,Alega,"Alega, AS",10,R,All Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,B,All Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,6006500,Alega,"Alega, AS",10,R,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,6006500,Alega,"Alega, AS",10,B,Unlicensed Fixed Wireless,0,0,0,0.000000000,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,R,Licensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,B,Licensed Fixed Wireless,0,0,0.000000000,0,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,R,Other,0,0,0,0.000000000,0,0
Total,Census Place,6006500,Alega,"Alega, AS",10,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,6007300,Alofau,"Alofau, AS",99,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6007300,Alofau,"Alofau, AS",99,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,6007300,Alofau,"Alofau, AS",99,R,All Wired,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,6007300,Alofau,"Alofau, AS",99,B,All Wired,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6007300,Alofau,"Alofau, AS",99,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,6007300,Alofau,"Alofau, AS",99,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,6007300,Alofau,"Alofau, AS",99,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0.000000000,0,0
