area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,R,All Wired and Licensed Fixed Wireless,0.978571429,0.971428571,0.964285714,0.957142857,0.957142857,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,B,All Wired and Licensed Fixed Wireless,0.992857143,0.978571429,0.978571429,0.957142857,0.957142857,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,R,Copper,0.835714286,0.828571429,0.800000000,0,0,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,B,Copper,0.835714286,0.828571429,0.800000000,0,0,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,R,Cable/Fiber,0.957142857,0.957142857,0.957142857,0.957142857,0.957142857,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,B,Cable/Fiber,0.957142857,0.957142857,0.957142857,0.957142857,0.957142857,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,R,Cable,0.957142857,0.957142857,0.957142857,0.957142857,0.957142857,0.000000000
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,B,Cable,0.957142857,0.957142857,0.957142857,0.957142857,0.957142857,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,R,Fiber,0,0,0,0,0,0.000000000
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,B,Fiber,0.000000000,0,0,0,0,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,B,All Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,B,NGSO Satellite,0,0,0,0,0.000000000,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,R,All Fixed Wireless,0.892857143,0.685714286,0.292857143,0,0,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,B,All Fixed Wireless,0.807142857,0.142857143,0.142857143,0,0,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,B,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,R,Licensed Fixed Wireless,0.892857143,0.685714286,0.292857143,0,0.000000000,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,B,Licensed Fixed Wireless,0.807142857,0.142857143,0.142857143,0,0.000000000,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,5300135,Aberdeen Gardens,"Aberdeen Gardens, WA",140,B,Other,0,0.000000000,0,0,0,0
Total,Census Place,5300275,Acme,"Acme, WA",126,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.126984127,0
