area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,4408020,Bradford,"Bradford, RI",592,B,Fiber,0.800675676,0.800675676,0.800675676,0.800675676,0.800675676,0.001689189
Total,Census Place,4408020,Bradford,"Bradford, RI",592,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4408020,Bradford,"Bradford, RI",592,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4408020,Bradford,"Bradford, RI",592,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,4408020,Bradford,"Bradford, RI",592,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,4408020,Bradford,"Bradford, RI",592,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4408020,Bradford,"Bradford, RI",592,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4408020,Bradford,"Bradford, RI",592,R,All Fixed Wireless,0.658783784,0.623310811,0.623310811,0.327702703,0,0
Total,Census Place,4408020,Bradford,"Bradford, RI",592,B,All Fixed Wireless,0.719594595,0.697635135,0.682432432,0.329391892,0,0
Total,Census Place,4408020,Bradford,"Bradford, RI",592,R,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,4408020,Bradford,"Bradford, RI",592,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,4408020,Bradford,"Bradford, RI",592,R,Licensed Fixed Wireless,0.658783784,0.623310811,0.623310811,0.327702703,0,0
Total,Census Place,4408020,Bradford,"Bradford, RI",592,B,Licensed Fixed Wireless,0.719594595,0.697635135,0.682432432,0.329391892,0,0
Total,Census Place,4408020,Bradford,"Bradford, RI",592,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,4408020,Bradford,"Bradford, RI",592,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.961352657,0.000000000
Total,Census Place,4412340,Carolina,"Carolina, RI",414,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.951690821,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,R,All Wired,0.961352657,0.961352657,0.961352657,0.961352657,0.961352657,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,B,All Wired,0.951690821,0.951690821,0.951690821,0.951690821,0.951690821,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,R,Any Terrestrial,0.983091787,0.975845411,0.975845411,0.973429952,0.961352657,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,B,Any Terrestrial,0.995169082,0.987922705,0.987922705,0.983091787,0.951690821,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,R,All Wired and Licensed Fixed Wireless,0.983091787,0.975845411,0.975845411,0.973429952,0.961352657,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,B,All Wired and Licensed Fixed Wireless,0.995169082,0.987922705,0.987922705,0.983091787,0.951690821,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,R,Copper,0,0,0,0,0.000000000,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,B,Copper,0,0,0.000000000,0,0,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,R,Cable/Fiber,0.961352657,0.961352657,0.961352657,0.961352657,0.961352657,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,B,Cable/Fiber,0.951690821,0.951690821,0.951690821,0.951690821,0.951690821,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,R,Cable,0.869565217,0.869565217,0.869565217,0.869565217,0.869565217,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,B,Cable,0.053140097,0.053140097,0.053140097,0.053140097,0.053140097,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,R,Fiber,0.939613527,0.939613527,0.939613527,0.939613527,0.939613527,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,B,Fiber,0.939613527,0.939613527,0.939613527,0.939613527,0.939613527,0.000000000
Total,Census Place,4412340,Carolina,"Carolina, RI",414,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,4412340,Carolina,"Carolina, RI",414,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4412340,Carolina,"Carolina, RI",414,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
