area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,Fiber,0.116726297,0.116726297,0.116726297,0.116726297,0.116726297,0.116726297
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,B,Fiber,0.116726297,0.116726297,0.116726297,0.116726297,0.116726297,0.116726297
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.851073345,0
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.851073345,0
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,Unlicensed Fixed Wireless,0.978980322,0.978980322,0.978980322,0.978085868,0,0.000000000
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,B,Unlicensed Fixed Wireless,0.978980322,0.978980322,0.978980322,0.978085868,0,0.000000000
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.851073345,0.000000000
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,B,Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.851073345,0
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,R,Other,0,0,0,0,0.000000000,0
Total,Census Place,0400870,Ajo,"Ajo, AZ",2236,B,Other,0,0.000000000,0,0,0,0
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,R,All Wired,1.000000000,1.000000000,0,0,0,0
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,B,All Wired,1.000000000,1.000000000,0,0,0,0
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,R,Any Terrestrial,1.000000000,1.000000000,0,0,0.000000000,0
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,0,0,0.000000000,0
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,R,Copper,1.000000000,1.000000000,0,0,0,0.000000000
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,B,Copper,1.000000000,1.000000000,0,0,0,0
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,R,Cable/Fiber,0,0,0,0,0.000000000,0
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,B,Cable/Fiber,0,0,0,0,0,0.000000000
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,R,Cable,0.000000000,0,0,0,0,0
Total,Census Place,0400940,Ak Chin,"Ak Chin, AZ",10,B,Cable,0,0.000000000,0,0,0,0
