area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Nontribal,Census Place,4967000,Salt Lake City,"Salt Lake City, UT",110640,B,Unlicensed Fixed Wireless,0.684562545,0.684553507,0.684553507,0.542037238,0.426455170,0.426455170
Nontribal,Census Place,4967000,Salt Lake City,"Salt Lake City, UT",110640,R,Licensed Fixed Wireless,0.922776573,0.821122560,0.821122560,0.559634852,0.201301518,0
Nontribal,Census Place,4967000,Salt Lake City,"Salt Lake City, UT",110640,B,Licensed Fixed Wireless,0.962093275,0.853515907,0.841404555,0.435321764,0.147442155,0
Nontribal,Census Place,4967000,Salt Lake City,"Salt Lake City, UT",110640,R,Other,0,0,0,0,0.000000000,0
Nontribal,Census Place,4967000,Salt Lake City,"Salt Lake City, UT",110640,B,Other,0,0.000000000,0,0,0,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.137931034,0.137931034
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.137931034,0.137931034
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,All Wired,1.000000000,1.000000000,0.224137931,0.137931034,0.137931034,0.137931034
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,All Wired,1.000000000,1.000000000,0.224137931,0.137931034,0.137931034,0.137931034
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,Any Terrestrial,1.000000000,1.000000000,0.224137931,0.137931034,0.137931034,0.137931034
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,Any Terrestrial,1.000000000,1.000000000,0.224137931,0.137931034,0.137931034,0.137931034
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,0.224137931,0.137931034,0.137931034,0.137931034
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,0.224137931,0.137931034,0.137931034,0.137931034
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,Copper,1.000000000,1.000000000,0.120689655,0,0.000000000,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,Copper,1.000000000,1.000000000,0.120689655,0,0,0
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,R,Cable/Fiber,0.137931034,0.137931034,0.137931034,0.137931034,0.137931034,0.137931034
Nontribal,Census Place,4967400,Samak,"Samak, UT",58,B,Cable/Fiber,0.137931034,0.137931034,0.137931034,0.137931034,0.137931034,0.137931034
