area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Cable/Fiber,0,0.000000000,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Cable,0.000000000,0,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Cable,0.000000000,0,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Fiber,0,0.000000000,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,All Fixed Wireless,0.066037736,0.028301887,0.028301887,0.023584906,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,All Fixed Wireless,0.099056604,0.056603774,0.056603774,0.004716981,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Licensed Fixed Wireless,0.066037736,0.028301887,0.028301887,0.023584906,0,0.000000000
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Licensed Fixed Wireless,0.099056604,0.056603774,0.056603774,0.004716981,0.000000000,0
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,3500310,Abiquiu,"Abiquiu, NM",212,B,Other,0,0.000000000,0,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,All Wired,0.270588235,0,0,0,0.000000000,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,All Wired,0.270588235,0,0.000000000,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Any Terrestrial,0.650980392,0.498039216,0.498039216,0.498039216,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,Any Terrestrial,0.996078431,0.996078431,0.996078431,0.501960784,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,All Wired and Licensed Fixed Wireless,0.270588235,0,0,0,0,0.000000000
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,All Wired and Licensed Fixed Wireless,0.996078431,0.996078431,0.996078431,0,0,0.000000000
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Copper,0.270588235,0.000000000,0,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,Copper,0.270588235,0.000000000,0,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Cable/Fiber,0.000000000,0,0,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,Cable/Fiber,0,0,0,0,0.000000000,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Cable,0,0.000000000,0,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,Cable,0,0,0,0.000000000,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Fiber,0.000000000,0,0,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,Fiber,0,0,0.000000000,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,All Fixed Wireless,0.498039216,0.498039216,0.498039216,0.498039216,0.000000000,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,All Fixed Wireless,0.996078431,0.996078431,0.996078431,0.501960784,0,0.000000000
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Unlicensed Fixed Wireless,0.498039216,0.498039216,0.498039216,0.498039216,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,Unlicensed Fixed Wireless,0.501960784,0.501960784,0.501960784,0.501960784,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Licensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,Licensed Fixed Wireless,0.996078431,0.996078431,0.996078431,0,0,0
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,3500765,Acomita Lake,"Acomita Lake, NM",255,B,Other,0,0.000000000,0,0,0,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.467455621
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.467455621
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,All Wired,0.792899408,0.381656805,0.343195266,0.340236686,0.340236686,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,All Wired,0.792899408,0.381656805,0.343195266,0.340236686,0.340236686,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.467455621
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.467455621
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,All Wired and Licensed Fixed Wireless,0.988165680,0.786982249,0.772189349,0.769230769,0.704142012,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,All Wired and Licensed Fixed Wireless,0.952662722,0.736686391,0.721893491,0.707100592,0.704142012,0.000000000
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,Copper,0.718934911,0.047337278,0.005917160,0,0,0.000000000
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,Copper,0.718934911,0.047337278,0.005917160,0,0,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,Cable/Fiber,0.340236686,0.340236686,0.340236686,0.340236686,0.340236686,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,Cable/Fiber,0.340236686,0.340236686,0.340236686,0.340236686,0.340236686,0.000000000
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,Cable,0.340236686,0.340236686,0.340236686,0.340236686,0.340236686,0.000000000
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,Cable,0.340236686,0.340236686,0.340236686,0.340236686,0.340236686,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,Fiber,0,0,0,0,0.000000000,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,Fiber,0,0,0,0,0.000000000,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.467455621
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,All Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.467455621
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,Unlicensed Fixed Wireless,0.467455621,0.467455621,0.467455621,0.467455621,0.467455621,0.467455621
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,Unlicensed Fixed Wireless,0.467455621,0.467455621,0.467455621,0.467455621,0.467455621,0.467455621
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,Licensed Fixed Wireless,0.985207101,0.642011834,0.642011834,0.636094675,0.532544379,0.000000000
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,Licensed Fixed Wireless,0.748520710,0.553254438,0.553254438,0.535502959,0.532544379,0.000000000
Total,Census Place,3500940,Adelino,"Adelino, NM",338,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,3500940,Adelino,"Adelino, NM",338,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.873760144,0
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.873760144,0.004508566
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,R,All Wired,0.981064022,0.963029757,0.927862940,0.873760144,0.873760144,0
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,B,All Wired,0.981064022,0.963029757,0.927862940,0.873760144,0.873760144,0.004508566
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.873760144,0.000000000
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,0.873760144,0.004508566
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.873760144,0
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,0.873760144,0.004508566
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,R,Copper,0.853020739,0.360685302,0.274120830,0,0,0
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,B,Copper,0.853020739,0.360685302,0.274120830,0,0,0
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,R,Cable/Fiber,0.873760144,0.873760144,0.873760144,0.873760144,0.873760144,0
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,B,Cable/Fiber,0.873760144,0.873760144,0.873760144,0.873760144,0.873760144,0.004508566
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,R,Cable,0.873760144,0.873760144,0.873760144,0.873760144,0.873760144,0
Total,Census Place,3501220,Agua Fria,"Agua Fria, NM",1109,B,Cable,0.873760144,0.873760144,0.873760144,0.873760144,0.873760144,0
